person|country|tagClass|minPathDistance|maxPathDistance
13194139536461|Pakistan|Writer|3|7
32985348835185|Pakistan|Writer|3|8
4398046514905|Pakistan|Writer|4|6
13194139536254|Pakistan|Writer|4|7
17592186044862|Pakistan|Writer|4|8
15393162790615|Pakistan|Writer|5|7
10995116279780|Pakistan|Writer|5|8
13194139535574|Pakistan|Writer|6|8
15393162789076|Pakistan|BritishRoyalty|3|5
32985348837023|Pakistan|BritishRoyalty|3|6
8796093025937|Pakistan|BritishRoyalty|3|7
2199023258242|Pakistan|BritishRoyalty|3|8
28587302324058|Pakistan|BritishRoyalty|4|6
26388279070356|Pakistan|BritishRoyalty|4|7
13194139534803|Pakistan|BritishRoyalty|4|8
10995116280002|Pakistan|BritishRoyalty|5|7
1222|Pakistan|BritishRoyalty|5|8
26388279067734|Pakistan|BritishRoyalty|6|8
10995116279298|Germany|MusicalArtist|3|5
30786325581343|Germany|MusicalArtist|3|6
28587302325727|Germany|MusicalArtist|3|7
4398046514591|Germany|MusicalArtist|3|8
15393162790022|Germany|MusicalArtist|4|6
32985348835870|Germany|MusicalArtist|4|7
24189255812426|Germany|MusicalArtist|4|8
13194139533331|Germany|MusicalArtist|5|7
15393162789214|Germany|MusicalArtist|5|8
21990232557741|Germany|MusicalArtist|6|8
26388279070243|Germany|OfficeHolder|3|5
15393162790639|Germany|OfficeHolder|3|6
21990232558783|Germany|OfficeHolder|3|7
28587302322718|Germany|OfficeHolder|3|8
6597069769576|Germany|OfficeHolder|4|6
19791209302326|Germany|OfficeHolder|4|7
24189255814349|Germany|OfficeHolder|4|8
6597069769310|Germany|OfficeHolder|5|7
30786325580699|Germany|OfficeHolder|5|8
17592186047175|Germany|OfficeHolder|6|8
26388279067574|Germany|Writer|3|5
28587302323054|Germany|Writer|3|6
4398046514922|Germany|Writer|3|7
21990232555958|Germany|Writer|3|8
17592186045133|Germany|Writer|4|6
6597069768646|Germany|Writer|4|7
24189255813058|Germany|Writer|4|8
28587302322790|Germany|Writer|5|7
1103|Germany|Writer|5|8
2079|Germany|Writer|6|8
28587302324670|Germany|BritishRoyalty|3|5
2199023258409|Germany|BritishRoyalty|3|6
30786325581011|Germany|BritishRoyalty|3|7
10995116279167|Germany|BritishRoyalty|3|8
26388279068331|Germany|BritishRoyalty|4|6
1259|Germany|BritishRoyalty|4|7
28587302325589|Germany|BritishRoyalty|4|8
13194139533757|Germany|BritishRoyalty|5|7
2199023256552|Germany|BritishRoyalty|5|8
10995116281397|Germany|BritishRoyalty|6|8
4398046512002|Indonesia|MusicalArtist|3|5
17592186047115|Indonesia|MusicalArtist|3|6
21990232557266|Indonesia|MusicalArtist|3|7
24189255813016|Indonesia|MusicalArtist|3|8
15393162792202|Indonesia|MusicalArtist|4|6
2199023258912|Indonesia|MusicalArtist|4|7
10995116281048|Indonesia|MusicalArtist|4|8
30786325579136|Indonesia|MusicalArtist|5|7
17592186048298|Indonesia|MusicalArtist|5|8
3453|Indonesia|MusicalArtist|6|8
21990232556166|Indonesia|OfficeHolder|3|5
17592186047707|Indonesia|OfficeHolder|3|6
13194139534451|Indonesia|OfficeHolder|3|7
15393162790921|Indonesia|OfficeHolder|3|8
8796093024749|Indonesia|OfficeHolder|4|6
1355|Indonesia|OfficeHolder|4|7
2199023256452|Indonesia|OfficeHolder|4|8
26388279068206|Indonesia|OfficeHolder|5|7
32985348836699|Indonesia|OfficeHolder|5|8
683|Indonesia|OfficeHolder|6|8
6597069768987|Indonesia|Writer|3|5
4398046514348|Indonesia|Writer|3|6
32985348836556|Indonesia|Writer|3|7
13194139535371|Indonesia|Writer|3|8
8796093024296|Indonesia|Writer|4|6
30786325578676|Indonesia|Writer|4|7
30786325580851|Indonesia|Writer|4|8
10995116281374|Indonesia|Writer|5|7
15393162791320|Indonesia|Writer|5|8
21990232555934|Indonesia|Writer|6|8
19791209301139|Indonesia|BritishRoyalty|3|5
13194139535979|Indonesia|BritishRoyalty|3|6
24189255812295|Indonesia|BritishRoyalty|3|7
15393162790090|Indonesia|BritishRoyalty|3|8
21990232556707|Indonesia|BritishRoyalty|4|6
21990232556180|Indonesia|BritishRoyalty|4|7
28587302325563|Indonesia|BritishRoyalty|4|8
19791209300852|Indonesia|BritishRoyalty|5|7
19791209302535|Indonesia|BritishRoyalty|5|8
8796093025287|Indonesia|BritishRoyalty|6|8
8796093025467|Mexico|MusicalArtist|3|5
21990232555524|Mexico|MusicalArtist|3|6
3309|Mexico|MusicalArtist|3|7
6597069767887|Mexico|MusicalArtist|3|8
28587302322814|Mexico|MusicalArtist|4|6
28587302322718|Mexico|MusicalArtist|4|7
17592186045594|Mexico|MusicalArtist|4|8
2199023256530|Mexico|MusicalArtist|5|7
30786325579940|Mexico|MusicalArtist|5|8
2199023258155|Mexico|MusicalArtist|6|8
2199023257545|Mexico|OfficeHolder|3|5
2199023257545|Mexico|OfficeHolder|3|6
13194139537135|Mexico|OfficeHolder|3|7
13194139536078|Mexico|OfficeHolder|3|8
13194139535703|Mexico|OfficeHolder|4|6
28587302325694|Mexico|OfficeHolder|4|7
15393162792237|Mexico|OfficeHolder|4|8
2199023255898|Mexico|OfficeHolder|5|7
24189255811312|Mexico|OfficeHolder|5|8
10995116279585|Mexico|OfficeHolder|6|8
8796093023237|Mexico|Writer|3|5
26388279069371|Mexico|Writer|3|6
32985348833660|Mexico|Writer|3|7
15393162790911|Mexico|Writer|3|8
19791209303788|Mexico|Writer|4|6
10995116278234|Mexico|Writer|4|7
8796093023560|Mexico|Writer|4|8
24189255812657|Mexico|Writer|5|7
24189255813167|Mexico|Writer|5|8
28587302324814|Mexico|Writer|6|8
17592186045280|Mexico|BritishRoyalty|3|5
26388279068195|Mexico|BritishRoyalty|3|6
32985348835502|Mexico|BritishRoyalty|3|7
30786325580422|Mexico|BritishRoyalty|3|8
30786325581118|Mexico|BritishRoyalty|4|6
32985348834284|Mexico|BritishRoyalty|4|7
19791209301153|Mexico|BritishRoyalty|4|8
6597069768567|Mexico|BritishRoyalty|5|7
2199023259068|Mexico|BritishRoyalty|5|8
26388279069936|Mexico|BritishRoyalty|6|8
8796093024091|Philippines|MusicalArtist|3|5
15393162789204|Philippines|MusicalArtist|3|6
26388279070008|Philippines|MusicalArtist|3|7
26388279069728|Philippines|MusicalArtist|3|8
2199023256437|Philippines|MusicalArtist|4|6
4398046512662|Philippines|MusicalArtist|4|7
13194139537188|Philippines|MusicalArtist|4|8
19791209301981|Philippines|MusicalArtist|5|7
19791209301554|Philippines|MusicalArtist|5|8
10995116280592|Philippines|MusicalArtist|6|8
19791209301676|Philippines|OfficeHolder|3|5
8796093025505|Philippines|OfficeHolder|3|6
35184372089323|Philippines|OfficeHolder|3|7
30786325578144|Philippines|OfficeHolder|3|8
30786325579731|Philippines|OfficeHolder|4|6
32985348834373|Philippines|OfficeHolder|4|7
8796093023234|Philippines|OfficeHolder|4|8
13194139533366|Philippines|OfficeHolder|5|7
10995116280870|Philippines|OfficeHolder|5|8
19791209302492|Philippines|OfficeHolder|6|8
13194139536094|Philippines|Writer|3|5
4398046514140|Philippines|Writer|3|6
30786325579488|Philippines|Writer|3|7
1984|Philippines|Writer|3|8
24189255813032|Philippines|Writer|4|6
2199023255887|Philippines|Writer|4|7
17592186047971|Philippines|Writer|4|8
17592186046507|Philippines|Writer|5|7
21990232558291|Philippines|Writer|5|8
21990232558484|Philippines|Writer|6|8
4398046511763|Philippines|BritishRoyalty|3|5
28587302322286|Philippines|BritishRoyalty|3|6
2199023258736|Philippines|BritishRoyalty|3|7
17592186045945|Philippines|BritishRoyalty|3|8
24189255814889|Philippines|BritishRoyalty|4|6
17592186044461|Philippines|BritishRoyalty|4|7
24189255813220|Philippines|BritishRoyalty|4|8
15393162789219|Philippines|BritishRoyalty|5|7
2199023256668|Philippines|BritishRoyalty|5|8
4398046514922|Philippines|BritishRoyalty|6|8
19791209300579|Vietnam|MusicalArtist|3|5
32985348834576|Vietnam|MusicalArtist|3|6
21990232556990|Vietnam|MusicalArtist|3|7
6597069768305|Vietnam|MusicalArtist|3|8
15393162790411|Vietnam|MusicalArtist|4|6
2199023258328|Vietnam|MusicalArtist|4|7
8796093024559|Vietnam|MusicalArtist|4|8
24189255814728|Vietnam|MusicalArtist|5|7
26388279069695|Vietnam|MusicalArtist|5|8
32985348836005|Vietnam|MusicalArtist|6|8
13194139534816|Vietnam|OfficeHolder|3|5
21990232556988|Vietnam|OfficeHolder|3|6
30786325579488|Vietnam|OfficeHolder|3|7
4398046513367|Vietnam|OfficeHolder|3|8
15393162789653|Vietnam|OfficeHolder|4|6
4398046514661|Vietnam|OfficeHolder|4|7
13194139535625|Vietnam|OfficeHolder|4|8
28587302325873|Vietnam|OfficeHolder|5|7
2199023259406|Vietnam|OfficeHolder|5|8
10995116278981|Vietnam|OfficeHolder|6|8
10995116281564|Vietnam|Writer|3|5
17592186044737|Vietnam|Writer|3|6
17592186045408|Vietnam|Writer|3|7
19791209303024|Vietnam|Writer|3|8
13194139534076|Vietnam|Writer|4|6
26388279069158|Vietnam|Writer|4|7
28587302325640|Vietnam|Writer|4|8
26388279070008|Vietnam|Writer|5|7
32985348835400|Vietnam|Writer|5|8
32985348836361|Vietnam|Writer|6|8
10995116278320|Vietnam|BritishRoyalty|3|5
26388279069894|Vietnam|BritishRoyalty|3|6
32985348836696|Vietnam|BritishRoyalty|3|7
4398046513095|Vietnam|BritishRoyalty|3|8
6597069769429|Vietnam|BritishRoyalty|4|6
26388279069574|Vietnam|BritishRoyalty|4|7
26388279070079|Vietnam|BritishRoyalty|4|8
30786325581562|Vietnam|BritishRoyalty|5|7
4398046514514|Vietnam|BritishRoyalty|5|8
10995116278973|Vietnam|BritishRoyalty|6|8
2199023255898|Brazil|MusicalArtist|3|5
24189255813276|Brazil|MusicalArtist|3|6
17592186047759|Brazil|MusicalArtist|3|7
10995116279491|Brazil|MusicalArtist|3|8
4398046511467|Brazil|MusicalArtist|4|6
2002|Brazil|MusicalArtist|4|7
28587302325422|Brazil|MusicalArtist|4|8
28587302323592|Brazil|MusicalArtist|5|7
26388279068724|Brazil|MusicalArtist|5|8
19791209300625|Brazil|MusicalArtist|6|8
28587302325802|Brazil|OfficeHolder|3|5
30786325578963|Brazil|OfficeHolder|3|6
19791209300828|Brazil|OfficeHolder|3|7
21990232555889|Brazil|OfficeHolder|3|8
32985348835199|Brazil|OfficeHolder|4|6
26388279067442|Brazil|OfficeHolder|4|7
26388279067734|Brazil|OfficeHolder|4|8
30786325578760|Brazil|OfficeHolder|5|7
10995116279118|Brazil|OfficeHolder|5|8
17592186047079|Brazil|OfficeHolder|6|8
17592186047640|Brazil|Writer|3|5
24189255814011|Brazil|Writer|3|6
32985348836025|Brazil|Writer|3|7
21990232556988|Brazil|Writer|3|8
2199023256310|Brazil|Writer|4|6
8796093025123|Brazil|Writer|4|7
8796093023060|Brazil|Writer|4|8
15393162789262|Brazil|Writer|5|7
4398046511322|Brazil|Writer|5|8
8796093024822|Brazil|Writer|6|8
15393162792423|Brazil|BritishRoyalty|3|5
2199023259059|Brazil|BritishRoyalty|3|6
24189255813885|Brazil|BritishRoyalty|3|7
1184|Brazil|BritishRoyalty|3|8
15393162789489|Brazil|BritishRoyalty|4|6
10995116280727|Brazil|BritishRoyalty|4|7
19791209303335|Brazil|BritishRoyalty|4|8
2199023257284|Brazil|BritishRoyalty|5|7
30786325580099|Brazil|BritishRoyalty|5|8
6597069770245|Brazil|BritishRoyalty|6|8
6597069770413|Japan|MusicalArtist|3|5
19791209302829|Japan|MusicalArtist|3|6
2199023256742|Japan|MusicalArtist|3|7
17592186048044|Japan|MusicalArtist|3|8
10995116278570|Japan|MusicalArtist|4|6
32985348835582|Japan|MusicalArtist|4|7
26388279070207|Japan|MusicalArtist|4|8
26388279067760|Japan|MusicalArtist|5|7
26388279069141|Japan|MusicalArtist|5|8
28587302323701|Japan|MusicalArtist|6|8
19791209303818|Japan|OfficeHolder|3|5
8796093023825|Japan|OfficeHolder|3|6
8796093023519|Japan|OfficeHolder|3|7
17592186045572|Japan|OfficeHolder|3|8
30786325580773|Japan|OfficeHolder|4|6
32985348834004|Japan|OfficeHolder|4|7
15393162791580|Japan|OfficeHolder|4|8
21990232555801|Japan|OfficeHolder|5|7
30786325581441|Japan|OfficeHolder|5|8
21990232557870|Japan|OfficeHolder|6|8
26388279070023|Japan|Writer|3|5
28587302325811|Japan|Writer|3|6
17592186046083|Japan|Writer|3|7
28587302324313|Japan|Writer|3|8
26388279069922|Japan|Writer|4|6
10995116279629|Japan|Writer|4|7
17592186047890|Japan|Writer|4|8
15393162790462|Japan|Writer|5|7
30786325579136|Japan|Writer|5|8
10995116279599|Japan|Writer|6|8
24189255813215|Japan|BritishRoyalty|3|5
13194139536555|Japan|BritishRoyalty|3|6
3601|Japan|BritishRoyalty|3|7
3247|Japan|BritishRoyalty|3|8
19791209301812|Japan|BritishRoyalty|4|6
13194139535574|Japan|BritishRoyalty|4|7
28587302322865|Japan|BritishRoyalty|4|8
8796093023522|Japan|BritishRoyalty|5|7
21990232556886|Japan|BritishRoyalty|5|8
28587302322837|Japan|BritishRoyalty|6|8
4398046511117|United_States|MusicalArtist|3|5
21990232556847|United_States|MusicalArtist|3|6
4398046514155|United_States|MusicalArtist|3|7
4398046513285|United_States|MusicalArtist|3|8
19791209301977|United_States|MusicalArtist|4|6
15393162791210|United_States|MusicalArtist|4|7
15393162791723|United_States|MusicalArtist|4|8
6597069767904|United_States|MusicalArtist|5|7
24189255813537|United_States|MusicalArtist|5|8
24189255813100|United_States|MusicalArtist|6|8
2199023256125|United_States|OfficeHolder|3|5
8796093022975|United_States|OfficeHolder|3|6
6597069770516|United_States|OfficeHolder|3|7
28587302322281|United_States|OfficeHolder|3|8
10995116280592|United_States|OfficeHolder|4|6
19791209302425|United_States|OfficeHolder|4|7
2199023259215|United_States|OfficeHolder|4|8
19791209301294|United_States|OfficeHolder|5|7
1269|United_States|OfficeHolder|5|8
32985348835899|United_States|OfficeHolder|6|8
4398046512521|United_States|Writer|3|5
6597069768060|United_States|Writer|3|6
8796093022765|United_States|Writer|3|7
4398046511463|United_States|Writer|3|8
10995116280878|United_States|Writer|4|6
15393162789514|United_States|Writer|4|7
10995116280938|United_States|Writer|4|8
2472|United_States|Writer|5|7
30786325578737|United_States|Writer|5|8
2199023258743|United_States|Writer|6|8
1129|United_States|BritishRoyalty|3|5
2199023258723|United_States|BritishRoyalty|3|6
21990232556585|United_States|BritishRoyalty|3|7
21990232556787|United_States|BritishRoyalty|3|8
13194139535543|United_States|BritishRoyalty|4|6
24189255812580|United_States|BritishRoyalty|4|7
4398046513334|United_States|BritishRoyalty|4|8
28587302322527|United_States|BritishRoyalty|5|7
8796093025118|United_States|BritishRoyalty|5|8
19791209300787|United_States|BritishRoyalty|6|8
17592186046671|Spain|MusicalArtist|3|5
28587302323054|Spain|MusicalArtist|3|6
13194139533500|Spain|MusicalArtist|3|7
26388279069748|Spain|MusicalArtist|3|8
26388279068477|Spain|MusicalArtist|4|6
21990232557749|Spain|MusicalArtist|4|7
17592186044461|Spain|MusicalArtist|4|8
26388279067478|Spain|MusicalArtist|5|7
19791209300091|Spain|MusicalArtist|5|8
4398046513283|Spain|MusicalArtist|6|8
17592186047761|Spain|OfficeHolder|3|5
24189255811381|Spain|OfficeHolder|3|6
21990232558418|Spain|OfficeHolder|3|7
28587302325163|Spain|OfficeHolder|3|8
26388279069182|Spain|OfficeHolder|4|6
687|Spain|OfficeHolder|4|7
32985348835374|Spain|OfficeHolder|4|8
24189255812660|Spain|OfficeHolder|5|7
2199023258130|Spain|OfficeHolder|5|8
32985348833478|Spain|OfficeHolder|6|8
1929|Spain|Writer|3|5
21990232559204|Spain|Writer|3|6
24189255811671|Spain|Writer|3|7
30786325579121|Spain|Writer|3|8
4398046511257|Spain|Writer|4|6
8796093024830|Spain|Writer|4|7
583|Spain|Writer|4|8
24189255813215|Spain|Writer|5|7
24189255813927|Spain|Writer|5|8
32985348834735|Spain|Writer|6|8
2843|Spain|BritishRoyalty|3|5
17592186047407|Spain|BritishRoyalty|3|6
30786325580358|Spain|BritishRoyalty|3|7
26388279069127|Spain|BritishRoyalty|3|8
10995116277924|Spain|BritishRoyalty|4|6
19791209301239|Spain|BritishRoyalty|4|7
19791209300147|Spain|BritishRoyalty|4|8
4398046511712|Spain|BritishRoyalty|5|7
19791209300153|Spain|BritishRoyalty|5|8
15393162790582|Spain|BritishRoyalty|6|8
10995116280116|Niger|MusicalArtist|3|5
6597069766846|Niger|MusicalArtist|3|6
3722|Niger|MusicalArtist|3|7
10995116281504|Niger|MusicalArtist|3|8
30786325580460|Niger|MusicalArtist|4|6
21990232556771|Niger|MusicalArtist|4|7
3781|Niger|MusicalArtist|4|8
26388279069780|Niger|MusicalArtist|5|7
28587302322565|Niger|MusicalArtist|5|8
30786325578896|Niger|MusicalArtist|6|8
2199023257206|Niger|OfficeHolder|3|5
24189255813195|Niger|OfficeHolder|3|6
28587302324596|Niger|OfficeHolder|3|7
21990232557420|Niger|OfficeHolder|3|8
19791209301809|Niger|OfficeHolder|4|6
15393162792041|Niger|OfficeHolder|4|7
28587302323701|Niger|OfficeHolder|4|8
10995116279159|Niger|OfficeHolder|5|7
10995116278300|Niger|OfficeHolder|5|8
17592186048023|Niger|OfficeHolder|6|8
6597069769164|Niger|Writer|3|5
32985348835903|Niger|Writer|3|6
26388279066928|Niger|Writer|3|7
30786325581011|Niger|Writer|3|8
26388279069561|Niger|Writer|4|6
26388279067054|Niger|Writer|4|7
6597069768956|Niger|Writer|4|8
13194139534652|Niger|Writer|5|7
19791209301239|Niger|Writer|5|8
28587302322760|Niger|Writer|6|8
8796093023506|Niger|BritishRoyalty|3|5
6597069768129|Niger|BritishRoyalty|3|6
32985348836951|Niger|BritishRoyalty|3|7
19791209303059|Niger|BritishRoyalty|3|8
24189255812802|Niger|BritishRoyalty|4|6
24189255812629|Niger|BritishRoyalty|4|7
28587302322471|Niger|BritishRoyalty|4|8
28587302322950|Niger|BritishRoyalty|5|7
6597069770017|Niger|BritishRoyalty|5|8
19791209300828|Niger|BritishRoyalty|6|8
